"pr","TCI","WMA"
0.00957012605,0.583273571448485,0.00128119003299313
0.00959294687625,0.582608345130391,0.00141253955259274
0.00960300142315625,0.582782210759453,0.00132407057128894
0.00968413473373516,0.583109595786858,0.00172730069159745
0.00930656832707854,0.583585511271428,0.00117547481502884
0.0093572757602555,0.584008445068594,0.00138453003138495
0.00948007347926189,0.584746531361809,0.00153140103868328
0.00957157521624343,0.585440289132905,0.00138481994210265
0.00967827572164952,0.586111945534581,0.00182598089509739
0.00977579801469076,0.586608962615227,0.00167497962143105
0.00982970306505803,0.587192724459605,0.00117329173670628
0.00975904356668448,0.587385960881525,0.00150811210952293
0.00991430545585159,0.587644555830976,0.00165656774651068
0.00990834219224788,0.587842457459143,0.00165130223598307
0.0100113574470541,0.587920518701405,0.00161122834647241
0.00977913578323043,0.587846988137567,0.00135501747867331
0.00971987967781119,0.587960826971425,0.00131637976469042
0.00978646346975647,0.588189266398151,0.00161385269110234
0.00986373955650038,0.58825821619406,0.00184446843102192
0.00983037474541289,0.588140517299206,0.00171704846285045
0.00987249721404821,0.58786951530226,0.00170804912415452
0.00989214081939942,0.587297669694262,0.00176266315527475
0.0098524128898844,0.586676399593343,0.00164948362119806
0.00972373036213151,0.58632611684249,0.00154418063138086
0.0094080607461848,0.585599250819041,0.00231298127432521
0.00890798848983942,0.583899406194479,0.0012605035967098
0.0082122881020854,0.581563457771918,0.00133921722739708
0.00831651010463754,0.581347321827985,0.00151336445802978
0.00833808873225348,0.580683526184364,0.00146008447672312
0.00833827550055981,0.580595135499129,0.00139642029535025
0.00847589083807381,0.581604594365191,0.00150786279566371
0.00862692078402566,0.582280196024169,0.00189885130981939
0.0086731603036263,0.582956568223375,0.00157939624048781
0.00884233316121696,0.583700508179921,0.00165632692276118
0.00902303991524738,0.584220911738077,0.00139808063305771
0.00916789193812856,0.585187890145728,0.0014039237859647
0.00934139918658178,0.586026073172616,0.00173591430304954
0.00930953426624632,0.586043461977245,0.00149598227775035
0.00919374217290248,0.585124150303954,0.00175445900262835
0.00918195927722504,0.584980078905079,0.00211191643850329
0.00936799963415567,0.585115991830185,0.00145669851470022
0.00936294647375956,0.585162052339728,0.00141713097736311
0.0093571964636973,0.585225895019961,0.00146477082027839
0.00935105133971082,0.585286987126474,0.00136754167033359
0.00934272425486022,0.585341421909965,0.00146218959857017
0.00934362815305476,0.585385319675928,0.00150290494322037
0.00934328696287474,0.585419741541111,0.00158521007949439
0.00933986729996506,0.585436571795594,0.00169755217174474
0.0093340746020581,0.585436478862161,0.00165056359643737
0.00932546957406832,0.585419592195351,0.00156493803698164
0.00931421136305276,0.585389857934854,0.00139365908585322
0.00930132407050262,0.585344786271735,0.00136105052213399
0.00928988108309808,0.58529375690649,0.00141842596274681
0.00927427047377924,0.585234986933378,0.00144620575622703
0.00925841868081752,0.585169800170234,0.00153901273510061
0.00923959521166161,0.585101032206955,0.00154115034950873
0.00922610669737239,0.585032383308689,0.00151719337624784
0.00921376237286142,0.584959172217121,0.001731715112841
0.00919944484543904,0.584878419862595,0.00184395636479633
0.00918283747766251,0.584793924954308,0.002097119295892
0.00916664904596875,0.584710260145686,0.00170854641757428
0.00914900284176676,0.584631278766772,0.00142218499557855
0.00913042439232595,0.584564618993584,0.00140725684991011
0.00911237467988699,0.584511824478591,0.00135031753765921
0.00909709078783087,0.584466467169493,0.0012323723699993
0.00908931653887203,0.584438147578254,0.00121135693133021
0.00909384974009784,0.584451616112849,0.00122093368255987
0.00911588878104815,0.584523820071372,0.00136219901973023
0.00913587324795842,0.584603232527457,0.0013924781844999
0.00915581786085104,0.584701225186034,0.0016952138274717
0.00917625641985832,0.584803877428207,0.00182761753333183
0.00919376555940293,0.584883859504782,0.00186512089194133
0.00920793667878736,0.584948951091797,0.0016291453771723
0.00922130608816639,0.584998760663508,0.00155643280222415
0.00923078041134013,0.585031216975598,0.00152089222161195
0.00923597392374245,0.585051474606536,0.0015069811578052
0.00923767597338279,0.585048064218056,0.0014779609359371
0.00923508289305282,0.585023613994192,0.00148505759977688
0.00923322160872298,0.584998117794615,0.00155449408787088
0.00923420859461849,0.584994966981882,0.00160968960531486
0.00923551482755333,0.584995339183802,0.0015643453262806
0.00923220270738827,0.584992322867642,0.00159493239390521
0.00922893411322899,0.58498807963084,0.00157149499416566
0.00922572755446728,0.584982134246112,0.00159944860915391
0.00922259445983619,0.584974512924103,0.00158422656405048
0.00921959121496059,0.584965340199457,0.00165292238652443
0.00921649029150824,0.584954840712545,0.00167258786043534
0.00921332037472408,0.584943218191831,0.0017475474839254
0.00921015670159305,0.584930884351737,0.00162983914980522
0.00920705875408142,0.584918244488976,0.00155433874281768
0.00920409848358175,0.584905710796317,0.00165904410413275
0.00920134566159498,0.584893607117853,0.00175593369744885
0.00919884620137229,0.584882327639006,0.0018367435304054
0.00919657032932914,0.584872041907319,0.00188662743983934
0.00919462782571789,0.584862968281668,0.00188781177917591
0.0091930330543404,0.584855297484454,0.00186316587347298
0.00919186900040737,0.584849154116391,0.00183371252168376
0.00919101305798324,0.584844573386583,0.00186778199993289
0.00919044432511129,0.58484170841582,0.00188948677103513
0.00919021931210309,0.584840790629651,0.00188948677103513
