formatted_date;temperature_2m; temperature_2m_min; temperature_2m_max;total_precipitation_sum;surface_pressure
22/09/2020;295,2297411;291,1913918;300,3886153;0,004890965;90448,50525
23/09/2020;295,0120463;292,1085506;299,5026081;0,014398445;90501,64968
24/09/2020;294,8625755;291,9366058;299,3495456;0,010427383;90606,3993
25/09/2020;294,7154782;291,5715261;299,3536638;0,025933092;90641,03226
26/09/2020;294,4309108;291,3752723;298,763182;0,020075199;90642,82659
27/09/2020;293,9019278;291,1232873;298,2488318;0,014164892;90507,2205
28/09/2020;294,3645747;291,2173425;299,1615832;0,009084151;90336,69224
29/09/2020;294,8495519;291,1407728;300,103544;0,012718035;90291,67566
30/09/2020;294,6227654;291,6590632;299,0064692;0,014790276;90464,91115
1/10/2020;294,9411014;291,5930885;299,7044275;0,014266978;90414,69438
2/10/2020;294,5351006;291,8991099;298,7464022;0,017252306;90348,67282
3/10/2020;294,3150694;291,7891222;298,2812587;0,028116733;90362,98473
4/10/2020;293,951868;291,8773718;297,9356296;0,025130701;90514,33692
5/10/2020;294,4210552;291,575847;299,1453979;0,016168458;90518,18175
6/10/2020;294,3173821;291,6183372;298,1904315;0,012578608;90504,55099
7/10/2020;294,6699792;291,5546063;299,081855;0,019883504;90476,30013
8/10/2020;294,3428967;291,2768967;299,181157;0,011053371;90608,72751
9/10/2020;295,0523021;291,8093226;299,8997594;0,006268216;90650,10385
10/10/2020;295,4982204;291,3532926;301,1918653;0,00360908;90561,12078
11/10/2020;295,4743859;291,7576606;300,5977371;0,007535971;90376,89863
12/10/2020;294,7841113;291,5162927;299,6504206;0,014167394;90386,60046
13/10/2020;293,885495;291,5500741;297,6903291;0,022826226;90439,64699
14/10/2020;294,0900409;291,0758362;298,5091996;0,00856561;90435,48143
15/10/2020;294,4839096;291,0508498;298,8972776;0,006730684;90379,24881
16/10/2020;295,0214371;291,6280752;300,3318027;0,00451845;90349,12529
17/10/2020;295,3785817;292,066891;300,2387016;0,005032497;90343,43143
18/10/2020;295,0674473;291,7450976;299,8757517;0,010184028;90308,36973
19/10/2020;293,8600676;291,9226423;296,910592;0,020898263;90351,28397
20/10/2020;294,1204974;291,4272255;298,8456089;0,007836816;90393,96314
21/10/2020;294,6784418;291,7637532;299,3165896;0,0099095;90454,64185
22/10/2020;294,8833106;291,7056867;299,4571679;0,007094802;90451,32664
23/10/2020;295,041881;291,921243;299,5114972;0,009292191;90464,42263
24/10/2020;293,8099391;292,0727783;296,63117;0,032812347;90553,97759
25/10/2020;294,1514385;291,1784454;298,7819259;0,006958216;90555,10597
26/10/2020;294,8235946;291,2614169;299,5719956;0,004085003;90500,41288
27/10/2020;295,0007982;292,165907;299,1481707;0,007315961;90442,41367
28/10/2020;294,2651575;292,0183713;297,2809549;0,006314886;90406,71567
29/10/2020;294,3525518;291,8356095;298,5780812;0,007295245;90421,16812
30/10/2020;294,1785981;291,5952313;298,1531475;0,007437831;90516,04467
31/10/2020;293,922492;292,0621035;296,8408625;0,013397903;90570,57398
1/11/2020;293,658099;291,8630444;297,2605181;0,020579749;90547,23232
2/11/2020;294,5503895;291,3404506;299,1814267;0,00497551;90463,42185
3/11/2020;294,7147417;291,6521695;298,9739114;0,004092907;90460,37197
4/11/2020;294,6103283;291,043221;299,1525208;0,004279396;90503,73541
5/11/2020;294,3665478;291,8928997;298,2089079;0,008401169;90494,74499
6/11/2020;294,1970311;291,7363294;298,2639267;0,00843414;90414,01407
7/11/2020;294,3741163;291,3986404;298,9925664;0,005920108;90423,64314
8/11/2020;294,6071993;291,7032878;298,8505126;0,005810528;90478,84315
9/11/2020;294,4603229;292,0202729;298,1899707;0,009243835;90551,67657
10/11/2020;293,9866734;291,9422289;297,6129924;0,018515816;90585,26719
11/11/2020;293,60957;291,956691;296,7256072;0,017176685;90602,37689
12/11/2020;293,6668552;291,076001;297,6279759;0,010715482;90577,76225
13/11/2020;293,7282761;291,5907084;297,5894318;0,01497061;90569,82313
14/11/2020;293,5050609;291,6235447;296,7660092;0,019724206;90545,88848
15/11/2020;293,6002554;290,5187067;298,2532203;0,005622372;90505,83919
16/11/2020;294,0031092;291,5270702;297,718913;0,015213006;90498,72973
17/11/2020;293,4681787;291,8431284;296,0668972;0,018205529;90546,88075
18/11/2020;293,7069929;291,4553452;297,5900882;0,012485351;90584,973
19/11/2020;293,8424419;291,3441125;297,7625959;0,010776111;90559,51334
20/11/2020;293,757888;291,4497859;297,0611517;0,023240132;90457,74857
21/11/2020;293,8942665;291,5402068;297,7598377;0,020238849;90439,45692
22/11/2020;294,4650891;291,701397;298,8380323;0,005288845;90450,83173
23/11/2020;294,841723;291,5972779;299,3142917;0,004489574;90443,77729
24/11/2020;295,033059;291,9356098;299,2296369;0,004679939;90426,99323
25/11/2020;294,7333689;291,7979403;299,0007054;0,010956693;90453,29327
26/11/2020;294,5377892;292,0336406;298,562946;0,007138401;90419,42443
27/11/2020;294,1500911;291,6692749;297,9856104;0,009877495;90416,34454
28/11/2020;294,2051767;291,5589993;298,317847;0,011739176;90470,69371
29/11/2020;294,662127;291,347545;299,4803208;0,006051992;90469,63518
30/11/2020;294,4581959;291,8959184;298,5048164;0,012810178;90471,58508
1/12/2020;294,243055;291,4902205;298,3038195;0,006535414;90462,38212
2/12/2020;294,0220254;291,4378314;298,3167495;0,011755039;90454,28483
3/12/2020;293,7011514;291,8673665;297,0668156;0,025381332;90506,76066
4/12/2020;294,3806407;291,473766;298,8731892;0,001937066;90497,24725
5/12/2020;294,7446224;291,7237813;298,9632361;0,005128871;90536,29483
6/12/2020;294,8449637;291,5670202;299,4462521;0,004142328;90472,08478
7/12/2020;294,765854;291,8378782;298,9736785;0,00630769;90467,61308
8/12/2020;294,3691022;291,5389133;298,4898177;0,004016596;90590,23341
9/12/2020;294,2345412;291,934063;298,0125555;0,00549583;90675,08788
10/12/2020;294,3263091;291,346486;298,5962423;0,006885755;90534,46279
11/12/2020;294,6227723;291,2635168;299,2509556;0,004315794;90444,10261
12/12/2020;294,6858801;291,8522868;298,8913772;0,004607835;90428,59015
