Date;Municipio;ndvi_mean;;;;;
16/11/2000;SARAVENA;7530,945899;;;;;
16/11/2000;TAME;6423,297516;;;;;
2/12/2000;ARAUCA;6635,530505;;;;;
2/12/2000;ARAUQUITA;7826,783784;;;;;
2/12/2000;CRAVO NORTE;5882,042577;;;;;
2/12/2000;FORTUL;7004,879138;;;;;
2/12/2000;PUERTO RONDON;6607,648114;;;;;
2/12/2000;SARAVENA;7886,79177;;;;;
2/12/2000;TAME;6980,484753;;;;;
18/12/2000;ARAUCA;6379,539695;;;;;
18/12/2000;ARAUQUITA;7577,824592;;;;;
18/12/2000;CRAVO NORTE;5826,160162;;;;;
18/12/2000;FORTUL;6023,816253;;;;;
18/12/2000;PUERTO RONDON;6421,152825;;;;;
18/12/2000;SARAVENA;6532,997777;;;;;
18/12/2000;TAME;6737,709318;;;;;
1/01/2001;ARAUCA;6350,313912;;;;;
1/01/2001;ARAUQUITA;7728,441366;;;;;
1/01/2001;CRAVO NORTE;5874,471386;;;;;
1/01/2001;FORTUL;6769,911241;;;;;
1/01/2001;PUERTO RONDON;6531,730981;;;;;
1/01/2001;SARAVENA;7434,083611;;;;;
1/01/2001;TAME;7203,108755;;;;;
17/01/2001;ARAUCA;5665,063774;;;;;
17/01/2001;ARAUQUITA;7149,272251;;;;;
17/01/2001;CRAVO NORTE;5561,45128;;;;;
17/01/2001;FORTUL;5538,158949;;;;;
17/01/2001;PUERTO RONDON;6082,739184;;;;;
17/01/2001;SARAVENA;6361,726377;;;;;
17/01/2001;TAME;6128,883543;;;;;
2/02/2001;ARAUCA;4815,433878;;;;;
2/02/2001;ARAUQUITA;6510,590571;;;;;
2/02/2001;CRAVO NORTE;4947,787636;;;;;
2/02/2001;FORTUL;5139,615802;;;;;
2/02/2001;PUERTO RONDON;5362,912977;;;;;
2/02/2001;SARAVENA;5706,306417;;;;;
2/02/2001;TAME;5650,301812;;;;;
18/02/2001;ARAUCA;4469,779931;;;;;
18/02/2001;ARAUQUITA;6504,450979;;;;;
18/02/2001;CRAVO NORTE;4477,422109;;;;;
18/02/2001;FORTUL;3852,984185;;;;;
18/02/2001;PUERTO RONDON;5058,643963;;;;;
18/02/2001;SARAVENA;4449,475849;;;;;
18/02/2001;TAME;5153,931213;;;;;
6/03/2001;ARAUCA;4085,92875;;;;;
6/03/2001;ARAUQUITA;6098,559988;;;;;
6/03/2001;CRAVO NORTE;3989,461448;;;;;
6/03/2001;FORTUL;4250,250585;;;;;
6/03/2001;PUERTO RONDON;4685,930817;;;;;
6/03/2001;SARAVENA;4596,879187;;;;;
6/03/2001;TAME;4653,522294;;;;;
22/03/2001;ARAUCA;4025,778135;;;;;
22/03/2001;ARAUQUITA;6308,889053;;;;;
22/03/2001;CRAVO NORTE;3869,96771;;;;;
22/03/2001;FORTUL;4276,359093;;;;;
22/03/2001;PUERTO RONDON;4706,978232;;;;;
22/03/2001;SARAVENA;5739,480354;;;;;
22/03/2001;TAME;5472,630094;;;;;
7/04/2001;ARAUCA;4236,475293;;;;;
7/04/2001;ARAUQUITA;6064,615272;;;;;
7/04/2001;CRAVO NORTE;4081,628679;;;;;
7/04/2001;FORTUL;4218,411575;;;;;
7/04/2001;PUERTO RONDON;5139,485507;;;;;
7/04/2001;SARAVENA;6019,462317;;;;;
7/04/2001;TAME;4835,104666;;;;;
23/04/2001;ARAUCA;5039,407655;;;;;
23/04/2001;ARAUQUITA;6763,444437;;;;;
23/04/2001;CRAVO NORTE;4389,928557;;;;;
23/04/2001;FORTUL;3456,24227;;;;;
23/04/2001;PUERTO RONDON;6104,093751;;;;;
23/04/2001;SARAVENA;4047,215256;;;;;
23/04/2001;TAME;4837,403303;;;;;
9/05/2001;ARAUCA;6801,629023;;;;;
9/05/2001;ARAUQUITA;7756,804463;;;;;
9/05/2001;CRAVO NORTE;5917,98728;;;;;
9/05/2001;FORTUL;5055,147303;;;;;
9/05/2001;PUERTO RONDON;7092,237149;;;;;
9/05/2001;SARAVENA;7450,892279;;;;;
