formatted_date;runoff_sum; surface_runoff_sum
18/06/1950;0,02160753;0,007929054
19/06/1950;0,010974556;0,001153914
20/06/1950;0,009836206;0,002135519
21/06/1950;0,015611493;0,003218979
22/06/1950;0,010715561;0,001979359
23/06/1950;0,012335395;0,002637809
24/06/1950;0,010750795;0,002941902
25/06/1950;0,014702215;0,003510952
26/06/1950;0,018357685;0,005135051
27/06/1950;0,021534396;0,004110831
28/06/1950;0,015641626;0,002923181
29/06/1950;0,019034627;0,004057213
30/06/1950;0,018128017;0,004292934
1/07/1950;0,018586597;0,00359594
2/07/1950;0,01618387;0,004411437
3/07/1950;0,047693838;0,018679163
4/07/1950;0,016339563;0,002189159
5/07/1950;0,014862041;0,002695519
6/07/1950;0,018601058;0,003545916
7/07/1950;0,023356156;0,005722759
8/07/1950;0,013645191;0,001869579
9/07/1950;0,016818376;0,00315436
10/07/1950;0,018847883;0,004484332
11/07/1950;0,013238679;0,003025509
12/07/1950;0,01596979;0,003011532
13/07/1950;0,009900589;0,001183714
14/07/1950;0,02713333;0,00969767
15/07/1950;0,013503374;0,002427019
16/07/1950;0,009546758;0,00203555
17/07/1950;0,019353844;0,005122616
18/07/1950;0,013286889;0,002885031
19/07/1950;0,02017831;0,004495248
20/07/1950;0,010528897;0,001411036
21/07/1950;0,010213444;0,001508302
22/07/1950;0,024438385;0,008048655
23/07/1950;0,01544599;0,003472938
24/07/1950;0,01233562;0,002316471
25/07/1950;0,011912847;0,001996233
26/07/1950;0,008538857;0,001392595
27/07/1950;0,008266396;0,001706649
28/07/1950;0,008409261;0,001944603
29/07/1950;0,012408695;0,003442977
30/07/1950;0,012660601;0,003221545
31/07/1950;0,013302703;0,003030978
1/08/1950;0,010006723;0,002335334
2/08/1950;0,009293599;0,002269316
3/08/1950;0,011977304;0,002601824
4/08/1950;0,011241087;0,002187538
5/08/1950;0,012025246;0,002207203
6/08/1950;0,013560212;0,002884091
7/08/1950;0,009200838;0,002159442
8/08/1950;0,01276591;0,003626581
9/08/1950;0,007980714;0,001264478
10/08/1950;0,012133449;0,003702591
11/08/1950;0,022543098;0,005955825
12/08/1950;0,01055633;0,001640186
13/08/1950;0,008152107;0,001276258
14/08/1950;0,009819406;0,002120592
15/08/1950;0,011081979;0,002535396
16/08/1950;0,008735474;0,001930775
17/08/1950;0,00903789;0,001933826
18/08/1950;0,008071834;0,001668703
19/08/1950;0,012541699;0,003500731
20/08/1950;0,007369743;0,000778588
21/08/1950;0,006777719;0,000796125
22/08/1950;0,008590742;0,002204046
23/08/1950;0,010070873;0,002210145
24/08/1950;0,009298468;0,002032928
25/08/1950;0,0086587;0,001605609
26/08/1950;0,016841356;0,004148387
27/08/1950;0,017090603;0,003464179
28/08/1950;0,012126505;0,00245603
29/08/1950;0,00974259;0,001302083
30/08/1950;0,008979053;0,001180207
31/08/1950;0,009089544;0,001145381
1/09/1950;0,012332542;0,002624946
2/09/1950;0,008432253;0,001324004
3/09/1950;0,007489932;0,001192434
4/09/1950;0,008111202;0,001164819
5/09/1950;0,00731809;0,0010071
6/09/1950;0,016197075;0,004980673
7/09/1950;0,008412728;0,001841119
8/09/1950;0,008987845;0,00231262
9/09/1950;0,011777338;0,002644821
10/09/1950;0,006304107;0,000470556
11/09/1950;0,006512722;0,000950259
12/09/1950;0,01492265;0,00496037
13/09/1950;0,006804805;0,000602113
14/09/1950;0,008293205;0,001345723
15/09/1950;0,023233499;0,009327677
16/09/1950;0,007297739;0,001500064
17/09/1950;0,011508383;0,002463306
18/09/1950;0,009296146;0,002536931
19/09/1950;0,009877816;0,001551723
20/09/1950;0,007255922;0,001514784
21/09/1950;0,005312083;0,000841038
22/09/1950;0,006741455;0,001826137
23/09/1950;0,015021808;0,005343641
24/09/1950;0,012046656;0,002904921
25/09/1950;0,011210856;0,002998452
26/09/1950;0,009026371;0,002816922
27/09/1950;0,019805989;0,005448627
28/09/1950;0,00997515;0,00195447
29/09/1950;0,007429321;0,001219959
30/09/1950;0,01697686;0,005511553
1/10/1950;0,014032216;0,003996105
2/10/1950;0,010134756;0,002284604
3/10/1950;0,012133556;0,003804382
4/10/1950;0,010748732;0,002346151
5/10/1950;0,012979773;0,002896002
6/10/1950;0,009349431;0,000949872
7/10/1950;0,008270836;0,001292922
8/10/1950;0,018865693;0,007177522
9/10/1950;0,024416304;0,005622039
10/10/1950;0,012009783;0,002939495
11/10/1950;0,015278114;0,00426151
12/10/1950;0,01151938;0,002077486
13/10/1950;0,012609668;0,002815257
14/10/1950;0,009194279;0,001021034
15/10/1950;0,011805932;0,003001274
16/10/1950;0,014719212;0,003195893
17/10/1950;0,011364371;0,002512545
18/10/1950;0,014090654;0,003693295
19/10/1950;0,016307102;0,003313515
20/10/1950;0,011702428;0,002443417
21/10/1950;0,009454781;0,001512127
22/10/1950;0,009822714;0,001997893
23/10/1950;0,011597068;0,002739654
24/10/1950;0,011266781;0,002507865
25/10/1950;0,012458295;0,002504194
26/10/1950;0,010317042;0,001676046
27/10/1950;0,010451561;0,002559381
28/10/1950;0,009143542;0,001288916
29/10/1950;0,013899496;0,003367231
30/10/1950;0,014511147;0,003452507
31/10/1950;0,010526068;0,00112419
1/11/1950;0,008666418;0,001005482
2/11/1950;0,010417063;0,002213856
3/11/1950;0,020496706;0,005820337
4/11/1950;0,014290985;0,002244642
5/11/1950;0,008731296;0,001661245
6/11/1950;0,008709377;0,001962209
7/11/1950;0,011940092;0,003810954
8/11/1950;0,014839548;0,005329447
9/11/1950;0,007783018;0,000856709
10/11/1950;0,008241821;0,001350026
11/11/1950;0,010947612;0,002170032
12/11/1950;0,016584739;0,003556791
13/11/1950;0,010958865;0,002511226
14/11/1950;0,014157006;0,003637609
15/11/1950;0,018178956;0,004735699
16/11/1950;0,010554917;0,001574111
17/11/1950;0,031672279;0,012548714
18/11/1950;0,03581642;0,008458277
19/11/1950;0,012640247;0,000936881
20/11/1950;0,011034666;0,001776884
21/11/1950;0,011656851;0,002830368
22/11/1950;0,01038189;0,002191695
23/11/1950;0,00867615;0,000970148
24/11/1950;0,011348037;0,00219221
25/11/1950;0,024074073;0,009743486
26/11/1950;0,022913518;0,008043297
27/11/1950;0,017985226;0,003418213
28/11/1950;0,015902299;0,003046769
29/11/1950;0,015076506;0,003525093
30/11/1950;0,014326301;0,003246788
1/12/1950;0,011973093;0,002038669
2/12/1950;0,009289169;0,00140688
3/12/1950;0,009696301;0,002222608
4/12/1950;0,010632865;0,00253635
5/12/1950;0,010168852;0,002190169
6/12/1950;0,009129397;0,001762829
7/12/1950;0,008709061;0,001274906
8/12/1950;0,006787457;0,000221195
9/12/1950;0,012775164;0,002701673
10/12/1950;0,025078355;0,00817387
11/12/1950;0,015987114;0,003590079
12/12/1950;0,009208881;0,000666348
13/12/1950;0,009577532;0,001809082
14/12/1950;0,010414624;0,002120365
15/12/1950;0,007488993;0,000412175
16/12/1950;0,008126679;0,001327773
17/12/1950;0,010009811;0,001674803
18/12/1950;0,012530534;0,002300855
19/12/1950;0,00722691;0,00117017
20/12/1950;0,007140002;0,001068443
21/12/1950;0,005917933;0,000660111
22/12/1950;0,008627508;0,002281364
23/12/1950;0,007560654;0,000741789
24/12/1950;0,005990835;0,001066755
25/12/1950;0,006079483;0,001026442
26/12/1950;0,005066928;0,000487225
27/12/1950;0,004561302;0,000266725
28/12/1950;0,004258755;0,000158836
29/12/1950;0,004359676;0,0003027
30/12/1950;0,00475909;0,000438812
31/12/1950;0,011240723;0,003306835
1/01/1951;0,007260587;0,000685808
2/01/1951;0,004196029;0,000175165
3/01/1951;0,005221886;0,000995693
4/01/1951;0,004341553;0,000685235
5/01/1951;0,00456118;0,00093516
6/01/1951;0,004264639;0,000675853
7/01/1951;0,006316648;0,002305706
8/01/1951;0,004957337;0,00108895
9/01/1951;0,005655782;0,001501629
10/01/1951;0,003581986;9,72803E-05
11/01/1951;0,004034853;0,000667762
12/01/1951;0,003207687;5,792E-05
13/01/1951;0,003943424;0,000546643
14/01/1951;0,005867519;0,001304818
15/01/1951;0,003908775;0,000650291
16/01/1951;0,004472066;0,001169474
17/01/1951;0,003742737;0,000789108
18/01/1951;0,004283418;0,000913147
19/01/1951;0,003635924;0,000426686
20/01/1951;0,004177225;0,000460587
21/01/1951;0,003417349;0,000437175
22/01/1951;0,009593093;0,003382433
23/01/1951;0,005664813;0,001581901
24/01/1951;0,004624026;0,001193626
25/01/1951;0,004200595;0,000931959
26/01/1951;0,004933239;0,001445568
27/01/1951;0,003938021;0,000761977
28/01/1951;0,004535565;0,001358679
29/01/1951;0,008179273;0,002254775
30/01/1951;0,005119245;0,000792007
31/01/1951;0,004528505;0,000563472
1/02/1951;0,005822483;0,002069852
2/02/1951;0,004991661;0,00110781
3/02/1951;0,004980844;0,001302403
4/02/1951;0,006189413;0,001695372
5/02/1951;0,004903999;0,001082172
6/02/1951;0,004662511;0,001042444
7/02/1951;0,005659621;0,001819328
8/02/1951;0,004626531;0,000998636
9/02/1951;0,005214613;0,001188681
10/02/1951;0,008067808;0,001994306
11/02/1951;0,006588053;0,001689424
12/02/1951;0,00765219;0,002345782
13/02/1951;0,007268522;0,002010712
14/02/1951;0,007203167;0,001992756
15/02/1951;0,009829351;0,002551171
16/02/1951;0,008777395;0,002132443
17/02/1951;0,010043277;0,001942623
18/02/1951;0,006796049;0,000502204
19/02/1951;0,010391963;0,002398893
20/02/1951;0,009505634;0,001775004
21/02/1951;0,008768274;0,002300335
22/02/1951;0,012964693;0,003846086
23/02/1951;0,020477223;0,006944434
24/02/1951;0,010095173;0,001846391
25/02/1951;0,010842054;0,00277978
26/02/1951;0,015741275;0,004189427
27/02/1951;0,007717864;0,000839596
28/02/1951;0,008965436;0,001843393
1/03/1951;0,014222998;0,003186037
2/03/1951;0,006406275;0,000186744
3/03/1951;0,005667294;0,000171477
4/03/1951;0,008006862;0,00177423
5/03/1951;0,005799716;0,000728602
6/03/1951;0,00525459;0,000359521
7/03/1951;0,005072257;0,000571792
8/03/1951;0,006004891;0,001460981
9/03/1951;0,007587466;0,00283212
10/03/1951;0,005825698;0,001409073
11/03/1951;0,007983782;0,00254933
12/03/1951;0,005954611;0,001036809
13/03/1951;0,008315183;0,002535482
14/03/1951;0,004573823;0,000145311
15/03/1951;0,004499565;0,000468626
16/03/1951;0,007262585;0,00274141
