formatted_date;temperature_2m; total_precipitation_sum
28/05/1950;293,0371035;0,013522054
29/05/1950;293,3838608;0,014476402
30/05/1950;293,7787399;0,016730739
31/05/1950;293,503444;0,022577428
1/06/1950;293,5024358;0,019966261
2/06/1950;292,7445036;0,023018303
3/06/1950;292,5257089;0,029439476
4/06/1950;292,8104943;0,019113684
5/06/1950;292,5767356;0,027770302
6/06/1950;292,6724651;0,0153678
7/06/1950;292,4479375;0,024747299
8/06/1950;292,8449052;0,017663503
9/06/1950;293,4290574;0,008716673
10/06/1950;293,5969671;0,015122878
11/06/1950;293,3824364;0,020038343
12/06/1950;293,1760313;0,032134898
13/06/1950;293,2347929;0,029510297
14/06/1950;292,946102;0,017754656
15/06/1950;293,3061298;0,014338204
16/06/1950;293,7918298;0,002961499
17/06/1950;294,2816848;0,004645824
18/06/1950;293,6850051;0,026714461
19/06/1950;293,3001619;0,010904638
20/06/1950;292,7079214;0,017049591
21/06/1950;292,6362668;0,021353089
22/06/1950;293,0298506;0,015633889
23/06/1950;293,3527322;0,016831794
24/06/1950;293,3891231;0,016541222
25/06/1950;292,9493334;0,021970455
26/06/1950;293,0740612;0,022386635
27/06/1950;293,3165996;0,022359678
28/06/1950;292,9657662;0,019870087
29/06/1950;292,896056;0,022743572
30/06/1950;292,6488253;0,025430985
1/07/1950;292,6405855;0,020310083
2/07/1950;292,8379978;0,019924302
3/07/1950;292,3480248;0,051979787
4/07/1950;292,8447812;0,014619392
5/07/1950;293,274498;0,016615948
6/07/1950;292,7987434;0,02195573
7/07/1950;292,2480104;0,029581863
8/07/1950;292,1241189;0,012875939
9/07/1950;292,613809;0,01752766
10/07/1950;293,0300704;0,024814336
11/07/1950;293,2435888;0,01744513
12/07/1950;293,0963458;0,017949652
13/07/1950;293,4555096;0,007593031
14/07/1950;293,0569914;0,031605749
15/07/1950;293,0085035;0,015138056
16/07/1950;293,1032573;0,011419447
17/07/1950;292,3740072;0,028221209
18/07/1950;292,4672774;0,017483211
19/07/1950;292,4142723;0,025904669
20/07/1950;292,6560426;0,010274838
21/07/1950;293,0271038;0,0116342
22/07/1950;293,0975101;0,028683708
23/07/1950;292,9632625;0,017509187
24/07/1950;293,5682105;0,012453825
25/07/1950;293,5109122;0,010856804
26/07/1950;293,4256955;0,009894627
27/07/1950;293,7353791;0,009998066
28/07/1950;293,5305102;0,011225665
29/07/1950;293,3774164;0,018491348
30/07/1950;293,1739729;0,019182398
31/07/1950;293,5929585;0,014852977
1/08/1950;293,3596225;0,013446643
2/08/1950;292,9907896;0,015626187
3/08/1950;293,0822985;0,016599067
4/08/1950;293,5862137;0,014558148
5/08/1950;293,4672701;0,014625435
6/08/1950;293,3969831;0,015603595
7/08/1950;293,2917077;0,01315739
8/08/1950;293,4375691;0,016292094
9/08/1950;293,4901718;0,010512948
10/08/1950;293,5012132;0,018209815
11/08/1950;293,2480874;0,028253784
12/08/1950;293,2062244;0,012573722
13/08/1950;293,3499239;0,008569121
14/08/1950;293,2382724;0,01570459
15/08/1950;293,143845;0,014733696
16/08/1950;292,781845;0,013555776
17/08/1950;292,8101054;0,013183014
18/08/1950;293,2143253;0,011191885
19/08/1950;292,8699855;0,020818335
20/08/1950;293,1598645;0,006095877
21/08/1950;293,2967625;0,007685906
22/08/1950;293,2578721;0,013698674
23/08/1950;293,179591;0,018371485
24/08/1950;292,9747831;0,014846035
25/08/1950;293,0608369;0,011232642
26/08/1950;292,9707513;0,023614032
27/08/1950;292,9230923;0,021317066
28/08/1950;292,8548363;0,016212648
29/08/1950;293,0533861;0,009858178
30/08/1950;293,3358364;0,010024787
31/08/1950;293,6170346;0,010020409
1/09/1950;293,7311695;0,013786197
2/09/1950;293,564776;0,010478702
3/09/1950;293,9671673;0,008692633
