formatted_date;runoff_sum; surface_runoff_sum
16/06/1950;0,008372799;2,21E-04
17/06/1950;0,007829007;3,64E-04
18/06/1950;0,021158409;0,007819832
19/06/1950;0,011492311;0,001293347
20/06/1950;0,009761581;0,002095394
21/06/1950;0,015476842;0,003218001
22/06/1950;0,010809671;0,001960344
23/06/1950;0,012315512;0,00262618
24/06/1950;0,010654727;0,002859112
25/06/1950;0,014743047;0,003630539
26/06/1950;0,018039974;0,005051841
27/06/1950;0,021745133;0,004181608
28/06/1950;0,015567663;0,002880466
29/06/1950;0,018839975;0,004006575
30/06/1950;0,018045818;0,004266347
1/07/1950;0,01881895;0,003699426
2/07/1950;0,015607249;0,003990262
3/07/1950;0,048045559;0,019081194
4/07/1950;0,016760003;0,002234907
5/07/1950;0,014798172;0,002678195
6/07/1950;0,018622496;0,003575083
7/07/1950;0,022812231;0,005657919
8/07/1950;0,014145254;0,001858315
9/07/1950;0,016739833;0,003185074
10/07/1950;0,018991112;0,004502685
11/07/1950;0,013002585;0,002880689
12/07/1950;0,016166817;0,003214083
13/07/1950;0,010016839;0,001107618
14/07/1950;0,026587874;0,00947272
15/07/1950;0,014127756;0,002685823
16/07/1950;0,009394031;0,00195347
17/07/1950;0,01909576;0,005123091
18/07/1950;0,013331192;0,002762232
19/07/1950;0,020461561;0,004745279
20/07/1950;0,01052068;0,001318207
21/07/1950;0,010093564;0,00140649
22/07/1950;0,024441393;0,008196355
23/07/1950;0,015444428;0,003402909
24/07/1950;0,01251608;0,002425063
25/07/1950;0,011924268;0,001975989
26/07/1950;0,008671693;0,001437901
27/07/1950;0,00814096;0,001608505
28/07/1950;0,008337274;0,001913975
29/07/1950;0,012275524;0,003353605
30/07/1950;0,012637683;0,003239004
31/07/1950;0,013565736;0,003179474
1/08/1950;0,010023606;0,002325061
2/08/1950;0,009060217;0,002203076
3/08/1950;0,012012626;0,002630723
4/08/1950;0,011356515;0,00222941
5/08/1950;0,01209437;0,002246133
6/08/1950;0,013492355;0,002844853
7/08/1950;0,008999871;0,001938085
8/08/1950;0,012951074;0,003817741
9/08/1950;0,008177775;0,001337479
10/08/1950;0,011427587;0,003466047
11/08/1950;0,022903419;0,006140209
12/08/1950;0,010812436;0,001701436
13/08/1950;0,008102982;0,001209252
14/08/1950;0,009704432;0,002065695
15/08/1950;0,011303822;0,002641994
16/08/1950;0,00859252;0,001875004
17/08/1950;0,009075281;0,001949844
18/08/1950;0,008123071;0,001644017
19/08/1950;0,012532604;0,003560523
20/08/1950;0,007455789;7,97E-04
21/08/1950;0,006802941;8,04E-04
22/08/1950;0,008442257;0,002110432
23/08/1950;0,010117921;0,002266759
24/08/1950;0,00926997;0,001998722
25/08/1950;0,008697313;0,001633083
26/08/1950;0,016629348;0,004142511
27/08/1950;0,017158148;0,00348662
28/08/1950;0,012178313;0,002434009
29/08/1950;0,009787834;0,001321182
30/08/1950;0,009035515;0,001194084
31/08/1950;0,008996196;0,001095587
1/09/1950;0,012414833;0,002668233
2/09/1950;0,008476299;0,001330937
3/09/1950;0,007365198;0,001080503
4/09/1950;0,008238826;0,001290313
5/09/1950;0,007275291;9,97E-04
6/09/1950;0,016196592;0,004993731
7/09/1950;0,008417232;0,001801765
8/09/1950;0,008793201;0,002163179
9/09/1950;0,011972254;0,002801029
10/09/1950;0,006400916;5,02E-04
11/09/1950;0,006378242;8,26E-04
12/09/1950;0,015009156;0,005079556
13/09/1950;0,006828906;6,11E-04
14/09/1950;0,008209754;0,001264071
15/09/1950;0,023304409;0,00941246
16/09/1950;0,007118471;0,001356991
17/09/1950;0,011628565;0,002563501
18/09/1950;0,009013994;0,002489171
19/09/1950;0,01026453;0,001619367
20/09/1950;0,007233849;0,001516114
21/09/1950;0,005313802;8,06E-04
22/09/1950;0,006377238;0,001583067
23/09/1950;0,014906743;0,005486097
24/09/1950;0,01239293;0,003014368
25/09/1950;0,011258118;0,00299866
26/09/1950;0,008904885;0,002706461
27/09/1950;0,019729432;0,005539105
28/09/1950;0,010177999;0,001991009
29/09/1950;0,007341208;0,001106866
30/09/1950;0,0167725;0,005489493
1/10/1950;0,014169009;0,004072101
2/10/1950;0,010045629;0,002200104
3/10/1950;0,012141058;0,003865544
4/10/1950;0,010899223;0,002418866
5/10/1950;0,012684621;0,002876449
6/10/1950;0,009714703;9,62E-04
7/10/1950;0,008313227;0,001313114
8/10/1950;0,018166188;0,006983743
9/10/1950;0,024759248;0,00580506
10/10/1950;0,012110213;0,002874335
11/10/1950;0,015305631;0,004274605
12/10/1950;0,011594827;0,002109479
13/10/1950;0,012669239;0,002845887
14/10/1950;0,009184182;0,0010031
15/10/1950;0,011796734;0,003018598
16/10/1950;0,014616016;0,003125188
17/10/1950;0,011447881;0,002559893
18/10/1950;0,013713029;0,003467711
19/10/1950;0,01668479;0,003558466
