formatted_date;temperature_2m_min; temperature_2m_max
30/05/1950;291,1725387;297,8928873
31/05/1950;290,9978667;297,6117353
1/06/1950;291,1636501;297,6398947
2/06/1950;290,6799794;296,0525967
3/06/1950;290,7714944;295,8682442
4/06/1950;290,2258542;296,6221624
5/06/1950;290,6544236;295,5338039
6/06/1950;290,6319955;296,3362512
7/06/1950;290,9189969;295,0721513
8/06/1950;290,3706915;297,1173456
9/06/1950;290,6198369;297,6154499
10/06/1950;290,9506351;297,499177
11/06/1950;291,0346156;297,3111373
12/06/1950;291,0648521;296,7826171
13/06/1950;291,0583463;296,577033
14/06/1950;291,0075468;295,9739808
15/06/1950;290,650653;297,2698263
16/06/1950;290,6308447;298,1619499
17/06/1950;290,9485528;298,8745107
18/06/1950;291,1030892;297,363708
19/06/1950;290,6328025;297,447832
20/06/1950;290,7960662;295,5670867
21/06/1950;290,3471833;296,1556733
22/06/1950;290,9698812;296,6796231
23/06/1950;290,7788016;297,3744503
24/06/1950;290,8731152;297,7480861
25/06/1950;291,0823705;296,068847
26/06/1950;290,704789;296,7144954
27/06/1950;291,1227101;297,3302981
28/06/1950;290,8828509;296,5819428
29/06/1950;290,9097596;296,2995684
30/06/1950;290,9176099;295,608104
1/07/1950;290,5325673;296,1122126
2/07/1950;290,2452929;297,078
3/07/1950;290,860611;294,9288506
4/07/1950;290,2031709;296,8927541
5/07/1950;290,389008;297,6284535
6/07/1950;290,4854009;296,4904332
7/07/1950;290,5144644;295,0411085
8/07/1950;289,6427565;295,736517
9/07/1950;290,0633246;296,7626308
10/07/1950;290,8918602;296,9074469
11/07/1950;290,6780345;297,643983
12/07/1950;290,3697287;297,3105573
13/07/1950;290,4788651;297,8486039
14/07/1950;290,4615156;296,8961633
15/07/1950;290,2010697;296,9656483
16/07/1950;289,927005;297,5962302
17/07/1950;290,2783755;295,9677102
18/07/1950;290,4015872;296,4002483
19/07/1950;290,4669319;295,721111
20/07/1950;290,1121505;297,0469137
21/07/1950;290,6096329;297,1900671
22/07/1950;290,6585783;296,9785103
23/07/1950;290,2369008;297,2924145
24/07/1950;290,5539398;298,525564
25/07/1950;290,3977795;298,1540944
26/07/1950;290,9904986;297,3134246
27/07/1950;291,0480101;298,3086796
28/07/1950;290,0362001;298,3644838
29/07/1950;290,902843;297,722098
30/07/1950;290,8628213;296,7396448
31/07/1950;290,7959238;298,0634621
1/08/1950;290,8390023;297,5166516
2/08/1950;290,8305827;296,7814077
3/08/1950;290,5341966;296,9552633
4/08/1950;291,1697005;297,8874756
5/08/1950;290,8122554;297,4706905
6/08/1950;290,9337546;297,2492486
7/08/1950;290,9321048;297,1016255
8/08/1950;290,9460817;297,4571049
9/08/1950;290,7512453;297,6229065
10/08/1950;290,8248864;297,7117145
11/08/1950;291,3874534;296,7504374
12/08/1950;291,0833129;296,6923718
13/08/1950;290,5538088;297,5575995
14/08/1950;290,821114;297,1651232
15/08/1950;290,609483;297,2653343
16/08/1950;290,5775079;296,2944971
17/08/1950;290,3780899;296,9500797
18/08/1950;290,1458922;297,847979
19/08/1950;290,8190465;296,0083105
20/08/1950;289,9652798;297,7698543
21/08/1950;290,7468119;297,2338729
22/08/1950;290,3784958;297,6734876
23/08/1950;290,8057809;297,1650981
24/08/1950;290,7721581;296,7586365
25/08/1950;290,5205929;297,3656489
26/08/1950;291,111336;296,4821545
27/08/1950;290,6966454;296,3855217
28/08/1950;291,0518681;295,9289565
29/08/1950;290,3268507;297,3485012
30/08/1950;290,2195489;298,0092034
31/08/1950;290,5056582;298,2837934
1/09/1950;291,0508095;298,101483
2/09/1950;290,6606478;298,292844
3/09/1950;291,0399305;298,209747
4/09/1950;291,4093673;297,4864424
5/09/1950;290,9170455;297,3615479
6/09/1950;291,1020141;296,1905959
7/09/1950;290,7313814;297,3503115
8/09/1950;291,1198212;296,9368683
9/09/1950;291,3523183;297,3574438
10/09/1950;291,7637988;298,4180598
11/09/1950;291,5483207;298,7971919
12/09/1950;291,1046952;298,0673707
13/09/1950;290,843948;299,2160874
14/09/1950;291,1354476;299,412184
15/09/1950;291,0267112;297,7463647
16/09/1950;291,2834658;299,157404
17/09/1950;291,3394673;297,9666572
